CL:0000084 T cell,CL:0000451 dendritic cell,0.258730627
CL:0000084 T cell,CL:0002365 medullary thymic epithelial cell,0.209070918
CL:0000084 T cell,CL:0000081 blood cell,0.650111876
UBERON:0000922 embryo,CL:0002322 embryonic stem cell,0.156094265
UBERON:0000922 embryo,CL:0002321 embryonic cell,0.244192716
UBERON:0000922 embryo,CL:2000042 embryonic fibroblast,0.118163141
UBERON:0000922 embryo,CL:0000163 endocrine cell,0.145476914
UBERON:0000922 embryo,CL:0000353 blastoderm cell,0.501271732
UBERON:0000955 brain,UBERON:0002435 striatum,0.507527254
UBERON:0000955 brain,UBERON:0001851 cortex,0.436201501
UBERON:0000955 brain,UBERON:0001898 hypothalamus,0.563705935
UBERON:0000955 brain,CL:0000540 neuron,0.326148065
UBERON:0000955 brain,UBERON:0001891 midbrain,0.527182103
UBERON:0000955 brain,UBERON:0001997 olfactory epithelium,0.171439971
UBERON:0000955 brain,CL:0002319 neural cell,0.326148065
UBERON:0000955 brain,UBERON:0001954 Ammon's horn,0.54534233
UBERON:0000955 brain,UBERON:0002038 substantia nigra,0.506448942
UBERON:0000955 brain,UBERON:0010743 meningeal cluster,0.222233142
UBERON:0000955 brain,UBERON:0001885 dentate gyrus of hippocampal formation,0.318185003
UBERON:0000955 brain,CL:0000127 astrocyte,0.280433108
UBERON:0000955 brain,UBERON:0000007 pituitary gland,0.529017963
UBERON:0000045 ganglion,UBERON:0000044 dorsal root ganglion,0.670765735
UBERON:0000045 ganglion,CL:0000540 neuron,0.302878845
UBERON:0000045 ganglion,CL:0002319 neural cell,0.302878845
UBERON:0001954 Ammon's horn,UBERON:0001851 cortex,0.138174437
UBERON:0001954 Ammon's horn,CL:0000540 neuron,0.235112732
UBERON:0001954 Ammon's horn,CL:0002319 neural cell,0.235112732
UBERON:0001954 Ammon's horn,UBERON:0000955 brain,0.54534233
UBERON:0001954 Ammon's horn,UBERON:0001885 dentate gyrus of hippocampal formation,0.227297813
CL:0000057 fibroblast,CL:2000042 embryonic fibroblast,0.244759777
CL:0000057 fibroblast,CL:0000192 smooth muscle cell,0.1040545
UBERON:0002038 substantia nigra,UBERON:0002435 striatum,0.122154319
UBERON:0002038 substantia nigra,CL:0000540 neuron,0.215641449
UBERON:0002038 substantia nigra,UBERON:0001891 midbrain,0.618624776
UBERON:0002038 substantia nigra,CL:0002319 neural cell,0.215641449
UBERON:0002038 substantia nigra,UBERON:0000955 brain,0.506448942
UBERON:0000115 lung epithelium,UBERON:0002048 lung,0.290468379
CL:0000163 endocrine cell,UBERON:0001264 pancreas,0.176517106
CL:0000163 endocrine cell,UBERON:0000473 testis,0.211852247
CL:0000163 endocrine cell,CL:0000169 type B pancreatic cell,0.616202862
CL:0000163 endocrine cell,UBERON:0000922 embryo,0.145476914
CL:0000163 endocrine cell,UBERON:0000992 female gonad,0.159972832
UBERON:0010743 meningeal cluster,UBERON:0000955 brain,0.222233142
CL:0002365 medullary thymic epithelial cell,CL:0000084 T cell,0.209070918
CL:0002365 medullary thymic epithelial cell,CL:0000081 blood cell,0.210443246
CL:0000127 astrocyte,CL:0000540 neuron,0.191885226
CL:0000127 astrocyte,CL:0002319 neural cell,0.191885226
CL:0000127 astrocyte,UBERON:0000955 brain,0.280433108
UBERON:0000007 pituitary gland,UBERON:0001898 hypothalamus,0.727749289
UBERON:0000007 pituitary gland,UBERON:0000955 brain,0.529017963
UBERON:0000992 female gonad,CL:0000163 endocrine cell,0.159972832
CL:0000081 blood cell,CL:0002092 bone marrow cell,0.369495008
CL:0000081 blood cell,CL:0000451 dendritic cell,0.309062462
CL:0000081 blood cell,CL:0000988 hematopoietic cell,0.127121389
CL:0000081 blood cell,CL:0000037 hematopoietic stem cell,0.181645491
CL:0000081 blood cell,CL:0002033 short term hematopoietic stem cell,0.100001122
CL:0000081 blood cell,CL:0000235 macrophage,0.181439671
CL:0000081 blood cell,CL:0000084 T cell,0.650111876
CL:0000081 blood cell,CL:0002365 medullary thymic epithelial cell,0.210443246
CL:0000081 blood cell,CL:0000763 myeloid cell,0.416095833
CL:0008019 mesenchymal cell,CL:0002092 bone marrow cell,0.132387731
CL:0000763 myeloid cell,CL:0002092 bone marrow cell,0.351587285
CL:0000763 myeloid cell,CL:0000451 dendritic cell,0.119785756
CL:0000763 myeloid cell,CL:0002033 short term hematopoietic stem cell,0.15000473
CL:0000763 myeloid cell,CL:0000235 macrophage,0.751176672
CL:0000763 myeloid cell,CL:0000081 blood cell,0.416095833
CL:0000192 smooth muscle cell,CL:0000057 fibroblast,0.1040545
