CL:0000037 hematopoietic stem cell
CL:0000057 fibroblast
CL:0000081 blood cell
CL:0000084 T cell
CL:0000127 astrocyte
CL:0000137 osteocyte
CL:0000163 endocrine cell
CL:0000169 type B pancreatic cell
CL:0000192 smooth muscle cell
CL:0000235 macrophage
CL:0000353 blastoderm cell
CL:0000540 neuron
CL:0000746 cardiac muscle cell
CL:0000763 myeloid cell
"CL:0001056 dendritic cell, human"
CL:0002033 short term hematopoietic stem cell
CL:0002034 long term hematopoietic stem cell
CL:0002319 neural cell
CL:0002321 embryonic cell
CL:0002322 embryonic stem cell
CL:0002365 medullary thymic epithelial cell
CL:0008019 mesenchymal cell
CL:1000497 kidney cell
UBERON:0000007 pituitary gland
UBERON:0000044 dorsal root ganglion
UBERON:0000045 ganglion
UBERON:0000115 lung epithelium
UBERON:0000473 testis
UBERON:0000922 embryo
UBERON:0000955 brain
UBERON:0000966 retina
UBERON:0000992 female gonad
UBERON:0001003 skin epidermis
UBERON:0001264 pancreas
UBERON:0001851 cortex
UBERON:0001891 midbrain
UBERON:0001898 hypothalamus
UBERON:0001902 epithelium of small intestine
UBERON:0001954 Ammon's horn
UBERON:0001997 olfactory epithelium
UBERON:0002038 substantia nigra
UBERON:0002048 lung
UBERON:0002107 liver
UBERON:0002435 striatum
UBERON:0004129 growth plate cartilage
UBERON:0010743 meningeal cluster
