CL:0000451 dendritic cell,CL:0000235 macrophage,0.069314736,,
CL:0000451 dendritic cell,UBERON:0000966 retina,0.000726604,,
CL:0000451 dendritic cell,CL:0001056 dendritic cell, human,0.463718468,
CL:0000451 dendritic cell,UBERON:0001264 pancreas,0.004275075,,
CL:0000451 dendritic cell,UBERON:0000473 testis,0.000498456,,
CL:0000451 dendritic cell,CL:0000169 type B pancreatic cell,0.003375416,,
CL:0000451 dendritic cell,UBERON:0001902 epithelium of small intestine,0.000787807,,
CL:0000451 dendritic cell,UBERON:0002048 lung,0.015719545,,
CL:0000451 dendritic cell,CL:0000084 T cell,0.258730627,,
CL:0000451 dendritic cell,UBERON:0000922 embryo,0.009417276,,
CL:0000451 dendritic cell,CL:2000042 embryonic fibroblast,0,,
CL:0000451 dendritic cell,UBERON:0000955 brain,0.003879697,,
CL:0000451 dendritic cell,UBERON:0000045 ganglion,0.000577121,,
CL:0000451 dendritic cell,UBERON:0001954 Ammon's horn,0.000607789,,
CL:0000451 dendritic cell,CL:0000057 fibroblast,0.008863681,,
CL:0000451 dendritic cell,UBERON:0002038 substantia nigra,4.67E-05,,
CL:0000451 dendritic cell,UBERON:0000115 lung epithelium,0.003451463,,
CL:0000451 dendritic cell,CL:0000163 endocrine cell,0.002313125,,
CL:0000451 dendritic cell,UBERON:0002107 liver,0.007012153,,
CL:0000451 dendritic cell,UBERON:0010743 meningeal cluster,0,,
CL:0000451 dendritic cell,UBERON:0004129 growth plate cartilage,0,,
CL:0000451 dendritic cell,CL:0002365 medullary thymic epithelial cell,0.036859195,,
CL:0000451 dendritic cell,UBERON:0001885 dentate gyrus of hippocampal formation,0,,
CL:0000451 dendritic cell,CL:0000127 astrocyte,0.000932295,,
CL:0000451 dendritic cell,UBERON:0000007 pituitary gland,0.000384985,,
CL:0000451 dendritic cell,UBERON:0000992 female gonad,0.000327836,,
CL:0000451 dendritic cell,CL:0000081 blood cell,0.309062462,,
CL:0000451 dendritic cell,CL:0008019 mesenchymal cell,0.004727176,,
CL:0000451 dendritic cell,CL:0000423 tip cell,0.000544459,,
CL:0000451 dendritic cell,CL:1000497 kidney cell,0.001021607,,
CL:0000451 dendritic cell,CL:0001059 common myeloid progenitor, CD34-positive,0.046746533,
CL:0000451 dendritic cell,CL:0000763 myeloid cell,0.119785756,,
CL:0000451 dendritic cell,CL:0000353 blastoderm cell,0,,
CL:0000451 dendritic cell,UBERON:0001782 pigmented layer of retina,0.000662082,,
CL:0000451 dendritic cell,CL:0000192 smooth muscle cell,0.000884338,,
CL:0000451 dendritic cell,CL:0000746 cardiac muscle cell,0.000322442,,
CL:0000451 dendritic cell,CL:1000410 myocyte of atrioventricular node,0,,
UBERON:0002435 striatum,CL:0002092 bone marrow cell,0.000364695,,
UBERON:0002435 striatum,CL:0000451 dendritic cell,4.16E-05,,
UBERON:0002435 striatum,CL:0000137 osteocyte,0,,
UBERON:0002435 striatum,CL:0002322 embryonic stem cell,0.000828187,,
UBERON:0002435 striatum,UBERON:0001851 cortex,0.140475733,,
UBERON:0002435 striatum,UBERON:0001003 skin epidermis,0,,
UBERON:0002435 striatum,UBERON:0000044 dorsal root ganglion,0.001128615,,
UBERON:0002435 striatum,UBERON:0001898 hypothalamus,0.029467851,,
UBERON:0002435 striatum,CL:0000988 hematopoietic cell,0,,
UBERON:0002435 striatum,CL:0000540 neuron,0.115377942,,
UBERON:0002435 striatum,CL:0002321 embryonic cell,0,,
UBERON:0002435 striatum,CL:0000037 hematopoietic stem cell,0,,
UBERON:0002435 striatum,CL:0000687 R1 photoreceptor cell,4.99E-05,,
